animal_tag,region,subregion,class_flex,system_base,management_months,system_climate,system_subclimate,climate_zone,system_variant,climate_moisture,animal_type,animal_subtype,allocation
feedlot_calves_male,,,,,,,,,,,,,0
feedlot_calves_female,,,,,,,,,,,,,0
beef_calves_male,,,,,,,,,,,,,0
beef_calves_female,,,,,,,,,,,,,0
beef_calves_male_replacement,,,,,,,,,,,,,0
beef_calves_female_replacement,,,,,,,,,,,,,0
dairy_calves_female_replacement,,,,,,,,,,,,,0
beef_yearlings_male_replacement,,,,,,,,,,,,,0
beef_yearlings_female_replacement,,,,,,,,,,,,,0
dairy_yearlings_female_replacement,,,,,,,,,,,,,0
mature_beef_bull,,,,,,,,,,,,,0
mature_dairy_cattle,spain,north,lactation_phase,anaerobic_lagoon,,cool,temperate,zone_moist,uncovered,wet,cattle,dairy,0.053702102
mature_dairy_cattle,spain,north,lactation_phase,liquid_slurry,3,cool,temperate,zone_moist,with_natural_crust_cover,wet,cattle,dairy,0.343258113
mature_dairy_cattle,spain,north,lactation_phase,solid_storage,,cool,,,,wet,cattle,dairy,0.3551964
mature_dairy_cattle,spain,north,lactation_phase,pit_storage,3,cool,temperate,zone_moist,below_animal_confinements,wet,cattle,dairy,0.017417424
mature_dairy_cattle,spain,north,lactation_phase,deep_bedding,>1,cool,temperate,zone_moist,no_mixing,wet,cattle,dairy,0.066907298
mature_dairy_cattle,spain,north,lactation_phase,anaerobic_lagoon,,warm,temperate,zone_moist,uncovered,wet,cattle,dairy,0.010497898
mature_dairy_cattle,spain,north,lactation_phase,liquid_slurry,3,warm,temperate,zone_moist,with_natural_crust_cover,wet,cattle,dairy,0.067101447
mature_dairy_cattle,spain,north,lactation_phase,solid_storage,,temperate,,,,wet,cattle,dairy,0.06943519
mature_dairy_cattle,spain,north,lactation_phase,pit_storage,3,warm,temperate,zone_moist,below_animal_confinements,wet,cattle,dairy,0.003404826
mature_dairy_cattle,spain,north,lactation_phase,deep_bedding,>1,warm,temperate,zone_moist,no_mixing,wet,cattle,dairy,0.013079302
mature_dairy_cattle,spain,south,lactation_phase,anaerobic_lagoon,,cool,temperate,zone_dry,uncovered,dry,cattle,dairy,0.053702102
mature_dairy_cattle,spain,south,lactation_phase,liquid_slurry,3,cool,temperate,zone_dry,with_natural_crust_cover,dry,cattle,dairy,0.343258113
mature_dairy_cattle,spain,south,lactation_phase,solid_storage,,cool,,,,dry,cattle,dairy,0.3551964
mature_dairy_cattle,spain,south,lactation_phase,pit_storage,3,cool,temperate,zone_dry,below_animal_confinements,dry,cattle,dairy,0.017417424
